level,species,z,theta
resources,1,6.991578289238114,7.673972785581629
resources,2,7.23802152107156,9.230037878053608
resources,3,7.581613497296819,9.68533981414646
resources,4,8.128740968016123,9.725356840454557
resources,5,6.880759039846317,6.730210096083214
resources,6,7.446929683719144,7.3825184436437175
resources,7,4.298273330553199,0.7677742193556325
resources,8,7.877644490284775,9.56454307957326
resources,9,6.944483140205697,7.369910300240554
resources,10,4.856782892146696,1.0546208932403034
consumers,1,7.562907651768791,7.871500018548847
consumers,2,5.7712826410954845,1.7212454699647806
consumers,3,6.574612468839006,5.873028710969377
consumers,4,5.535349213528833,4.496043958844904
consumers,5,7.417754552910092,8.092699069566851
consumers,6,7.53478259182505,8.525297900503562
consumers,7,6.230055556388177,3.34936089469134
consumers,8,5.171895238539909,1.0427290802603006
consumers,9,5.816367040939137,3.132411605930381
consumers,10,7.857683804314803,7.240026030461728
consumers,11,6.725325809758975,5.623235133887226
consumers,12,6.772203126023192,6.254801875779268
