level,species,z,theta
resources,1,3.592549892039216,1.4640030577938323
resources,2,3.853420389508424,2.955730909830865
resources,3,4.386686242344259,3.90653466187016
resources,4,3.941017217834285,2.858875866516508
resources,5,6.998224540002532,8.499279005608454
resources,6,4.108816807696616,3.668692366501718
resources,7,6.123714931266082,7.176247637394264
resources,8,3.0787466784751008,0.38052257514249677
resources,9,3.0980025234752047,1.6296541633339245
resources,10,4.417986941481326,3.368681593358025
resources,11,5.315527171983693,5.881901816964201
resources,12,3.809547335119445,2.082375228260993
resources,13,5.195926383658914,4.478130178039121
resources,14,4.45951454268022,3.865599533905748
resources,15,5.776757894108802,6.843905683463374
resources,16,3.4182128774664697,1.8863401062840524
resources,17,5.357143894263951,6.32444734008673
resources,18,7.302117933953684,9.963054667596172
resources,19,5.905295244786375,7.783618071943348
resources,20,5.540732674131287,6.638689526880166
resources,21,4.257969825998124,2.6321537455972943
resources,22,3.648884925922607,1.1633980563134605
resources,23,5.820162002875614,7.595292672426415
resources,24,5.54415232913943,5.828177049211356
resources,25,5.701010763291581,6.096031009040681
resources,26,3.1729122147285143,0.970388131277784
resources,27,7.976516331489129,9.926580782203827
resources,28,5.842882829376476,7.696268272104763
resources,29,4.957080743868874,5.853286455044273
resources,30,2.9086824604762285,0.32505766780430934
resources,31,3.2265102632982416,0.9590928730403125
consumers,1,6.26121411689844,9.217834067071074
consumers,2,6.54081519598624,9.03738269892855
consumers,3,5.006800858919745,5.819576229348282
consumers,4,7.4271954849902775,9.96449323514012
consumers,5,4.640947532257876,5.219825895269317
consumers,6,4.238566067199344,4.093405453161479
consumers,7,5.0697338249317125,5.686095462614713
consumers,8,4.484855340481636,4.564764153711669
consumers,9,5.776209895062702,7.726606796399393
consumers,10,4.1351522515621815,4.064432333588037
consumers,11,6.034874933455469,7.956486632924635
consumers,12,3.9577486239663013,3.228703161883617
consumers,13,5.558533632206463,6.881793431442107
consumers,14,3.563630188841703,2.3131348432373544
consumers,15,5.857000785369835,7.965560192000036
consumers,16,3.9054406696396518,3.1322588504896864
consumers,17,4.133260632850414,4.068168891737711
consumers,18,6.23258231437416,7.125148532816028
consumers,19,3.1462285910337506,1.7812350572296087
consumers,20,2.7762237226413724,0.3675154387823776
consumers,21,4.402739726388654,3.4063474128745863
consumers,22,4.636458680140278,3.0677233015038796
consumers,23,3.4222170404068883,2.5351164429375372
consumers,24,4.054917277345348,4.535133088434877
consumers,25,5.185942962520319,6.730379520150529
consumers,26,5.627817346772865,7.2271342145978545
consumers,27,6.4286431915303375,9.093204942030845
consumers,28,2.927330881972515,0.3416273658417768
consumers,29,5.058803546448585,5.005616846477903
consumers,30,3.623126360203254,2.351391013479558
consumers,31,3.913173804120815,3.43412056710654
consumers,32,5.565901869545735,7.2202174490236875
consumers,33,3.213482305922231,0.6455640887731628
consumers,34,5.3399405493277206,5.953468503355095
consumers,35,3.2166395015311426,0.555341345518221
consumers,36,3.225401415677695,2.320479135194067
consumers,37,3.8745691948957686,2.6612761874211843
consumers,38,7.106999081742366,9.171306453645773
consumers,39,5.3329441262139285,5.799415221627227
consumers,40,3.271710002567661,1.74856867665254
consumers,41,4.453561127084734,4.592036151152676
consumers,42,5.310260251907348,8.469523670018335
consumers,43,4.994148360988152,8.075281587815864
consumers,44,3.0543747307641045,0.6759099520418377
consumers,45,5.632158241875771,9.680699175965747
consumers,46,3.968937302245855,2.8435766831539544
consumers,47,5.177047157028596,6.761822680689187
consumers,48,5.328102061749858,8.114950868125405
consumers,49,5.185519094800372,7.983212530021171
consumers,50,3.2192044515779648,2.0453439380598826
consumers,51,5.620682077050943,7.721009115524375
consumers,52,3.2015096682867163,1.9378176734941222
consumers,53,7.341188481698519,9.27517708110237
consumers,54,5.90783171805375,7.845523118839555
consumers,55,4.52732091073592,1.7716146937482824
consumers,56,4.337864407251335,4.126075872653024
consumers,57,2.8365421519816882,0.34131005133570147
consumers,58,4.769920928052289,6.1326519770104255
consumers,59,5.558229265719964,5.458876182850505
consumers,60,5.3307063768368605,5.730366879325626
consumers,61,8.061920616655728,9.26277868871776
consumers,62,7.001969189821769,9.930601630772351
consumers,63,6.4467792006505835,9.818849845185177
consumers,64,3.359488230731117,0.49337722477792
consumers,65,3.664682605170946,3.324040553445484
consumers,66,3.408354661729349,2.3539817686720665
consumers,67,3.519352577962726,4.5972161103303115
consumers,68,4.868501136361787,3.2552738162061767
consumers,69,5.273556676781436,7.413892511695586
consumers,70,7.895217044658661,9.924090031766506
consumers,71,2.67771076768445,1.6808004337467009
consumers,72,7.43094171586056,6.0798894680938815
consumers,73,6.891317275431382,9.862248552304774
consumers,74,7.032371853483178,7.115931880535305
consumers,75,5.960392723648406,5.56966358808163
consumers,76,6.246827618631588,8.324803290660467
