level,species,z,theta
resources,1,5.713693363564592,6.499881957499762
resources,2,4.338693553488148,3.4408829690533382
resources,3,4.436826274044456,3.6451726655592176
resources,4,3.62355058722142,2.188558639013014
resources,5,5.522618638406131,6.928682100322188
resources,6,7.061309400302749,9.750661689788132
resources,7,5.386309007083357,6.116323266901622
resources,8,3.222835486694776,1.3649868745755755
resources,9,6.554200903496865,8.108340781553729
resources,10,7.257074097249424,9.413461889808616
resources,11,5.239389816468252,4.583555695429999
resources,12,5.4719903896152235,6.830482404424059
resources,13,5.795657582643934,7.884313232623448
resources,14,6.543407905053035,8.84377872076043
resources,15,3.4594569542730813,1.6414301639779372
resources,16,6.256909209522786,8.292659106270197
resources,17,3.4831496159663744,0.4528814838607387
resources,18,3.967636890080697,3.4324567820019714
resources,19,4.721958977174348,4.375593222865238
resources,20,4.096111951850856,3.5304162427093755
resources,21,3.6039860304101423,3.0337242961916333
resources,22,6.024216168482622,8.697582960205658
resources,23,5.966149874918608,4.708880160978161
resources,24,3.146795273222094,0.11581997146536072
resources,25,6.432229803587285,6.506417471848566
resources,26,3.5798012227764255,1.0908518173859272
resources,27,3.6047540853406677,3.7177053270920335
resources,28,5.011753578895105,4.449818514156849
resources,29,4.683735542716685,4.692024320264904
resources,30,3.2490159650140416,2.2043133162113393
resources,31,6.951393755474394,8.088866019392583
resources,32,2.9690994122955745,0.48635818841324063
resources,33,4.549690688444002,2.519708322278782
resources,34,5.007632540858695,5.681084851200843
resources,35,6.271282269492041,8.591973441989628
resources,36,5.713150284203486,7.124242447924347
resources,37,5.7670279764433845,6.4662779404971555
resources,38,4.946247712431181,5.396288204357211
resources,39,3.388489467757945,3.3875900258632496
resources,40,5.7595866185502,3.9840994684444153
resources,41,6.3920290104563176,9.241641590115165
resources,42,5.217918262359675,5.102468115434093
resources,43,3.9884305091595067,1.336102020897676
resources,44,4.375764392465563,4.614427884807235
resources,45,5.939896085747645,7.7343095804984685
resources,46,6.323063681138326,9.071631984667706
resources,47,5.3925951405355335,6.119179567166477
resources,48,4.2096754603458715,6.5935237799674535
resources,49,3.500847160486229,3.657024370054476
resources,50,3.0331214594579867,1.597863894978726
consumers,1,5.281758516972919,5.544713941378432
consumers,2,3.1292828206898573,1.0350851571111397
consumers,3,4.872044921567355,4.5858613845203555
consumers,4,2.930946683597813,0.36903760730784496
consumers,5,7.031688377521431,9.624910888224159
consumers,6,3.8031114378901494,2.5279652584335333
consumers,7,5.253479707716622,5.337800278920302
consumers,8,5.645127860138403,7.347796351354989
consumers,9,4.639724218675701,3.878475564984667
consumers,10,6.1136938337989175,7.7106771961154585
consumers,11,7.105165145649243,8.985901912741078
consumers,12,4.27177841254093,3.0848676127315633
consumers,13,7.075145718575487,9.95807168207035
consumers,14,4.044564754648201,1.9756566361766525
