level,species,z,theta
resources,1,8.44308456354503,0.5693758270899885
resources,2,14.029340956665516,7.588960737324437
resources,3,13.322817200237827,5.971785886110828
resources,4,5.758554647542568,0.9824942574068674
resources,5,13.539681498414014,6.658457540195533
resources,6,10.633520250138385,8.76697738569515
resources,7,5.674051643931996,1.4586024232519068
resources,8,5.510795828777689,0.0301973670629474
resources,9,9.34583758974728,5.085540626298702
resources,10,5.683081900533148,1.763420564469782
resources,11,10.849996759681009,9.355180015228012
resources,12,6.298147512220888,3.5443406604171224
resources,13,10.76133499997681,6.573585275948282
resources,14,10.786260268131823,9.789460844829044
resources,15,14.308777508735753,8.44604027711657
resources,16,12.45952725402945,9.322458237175095
resources,17,6.132685650657402,0.9835212311990404
resources,18,10.843267542420794,9.902031970508439
resources,19,10.347729028899446,8.297488522604585
resources,20,0.6804761931055703,0.6804761931055703
resources,21,7.515894333551191,0.16186255105855807
resources,22,9.536002226364351,5.928309292665201
resources,23,12.420451017816069,9.140129060825172
resources,24,6.818517807320173,0.5944864266680061
resources,25,4.073166859022111,1.9566205071899034
resources,26,5.98006609712554,4.258963111932157
resources,27,8.541914099417825,3.395485874983095
resources,28,10.938259635438634,6.447920294381788
resources,29,8.77002344197008,7.728339395807067
resources,30,10.49146561493581,8.127073691257793
resources,31,10.30684582177723,7.540724847513931
resources,32,2.750560135637209,1.5576800271712754
resources,33,4.921087084273208,1.3828104683904718
resources,34,10.772537035357034,8.949014796866038
resources,35,8.901117706169464,7.654869085879867
resources,36,9.100986186916597,5.9035222132795795
resources,37,9.042693347238263,9.042693347238263
resources,38,0.27080248657894046,0.27080248657894046
resources,39,8.1924759867848,4.351376744093473
resources,40,9.988302160314255,6.373711610311168
resources,41,10.632585369733016,8.603127877537965
resources,42,10.946674922135262,9.515782133783215
resources,43,8.282322459469642,5.258892046664352
resources,44,0.04753100140296285,0.04753100140296285
resources,45,10.722019829226946,9.873848201317175
resources,46,6.085695142225709,5.390981940157269
resources,47,10.550446097082158,8.871671857019788
resources,48,9.001668722904927,7.171445193185475
resources,49,5.253238846591387,2.7586515347873353
resources,50,0.27986444387621656,0.27986444387621656
resources,51,7.035906534278884,2.2974591008265532
resources,52,0.24565147826449918,0.24565147826449918
resources,53,3.57331101002277,1.3042400559935996
resources,54,8.945971492709905,7.479455360623599
consumers,1,6.5545035065852835,7.849345189486154
consumers,2,6.268534941945477,6.647215452555473
consumers,3,4.826373483106434,1.543245891108418
consumers,4,4.4283068283921265,0.6330749023622029
consumers,5,6.386859193097884,7.9707366712950956
consumers,6,4.521673675311765,0.9986028560956339
consumers,7,4.580232515738549,3.9733978183933827
consumers,8,8.883201133144947,8.821453856683537
consumers,9,5.491321451451976,3.504296598574821
consumers,10,5.955652166269516,1.0113177973540655
consumers,11,3.0822505658461186,2.416106101505815
consumers,12,4.069601890909389,0.16709876570059512
consumers,13,6.103856255755251,5.138323158456545
consumers,14,11.829037734409892,8.211791519012817
consumers,15,6.49266586844928,1.4958468904240063
consumers,16,4.3165441764892165,0.6786176187927806
consumers,17,6.66826690174398,6.365244572234436
consumers,18,7.2034472915076595,7.195370416375939
consumers,19,7.9118172757253955,5.801054251406423
consumers,20,8.017058545916822,6.1219207629078305
consumers,21,11.646213832838622,8.739283639273037
consumers,22,6.825562024923107,3.138990456237225
consumers,23,6.619219101211945,2.4943378975898445
consumers,24,7.730832618697653,6.086009184223531
