level,species,z,theta
resources,1,5.6508688238051406,0.05709972910626249
resources,2,8.828670756424618,1.8467216975139422
resources,3,9.815721446204844,3.4285313315958055
resources,4,15.528235957571194,9.868591192662532
resources,5,12.726924452073895,5.059287585209031
resources,6,11.417217310809928,2.7281788161553155
resources,7,11.575853246074498,3.4508386333672836
resources,8,12.824066638712456,7.163548936554527
resources,9,11.938257551273447,4.380645385701261
resources,10,14.58002741521602,6.311257231345366
resources,11,10.352115266158274,5.4533232717406355
resources,12,15.214342316663517,9.427955130585149
resources,13,5.829174765005934,2.017029306085596
resources,14,4.791336033617699,3.0270320317428157
resources,15,2.490639652164705,0.9871855451923262
resources,16,11.365279991819499,6.973909016119125
resources,17,3.2718893042868817,1.557197208046981
resources,18,11.41585340087772,9.221241036208008
resources,19,9.07278148462364,4.798173726034712
resources,20,12.84873536784785,7.863777221057749
resources,21,10.41541656471062,6.213403184150195
consumers,1,6.0622591469038,6.645224658731104
consumers,2,5.096158643683042,4.564379474001246
consumers,3,7.794304549160772,3.5058834318915655
consumers,4,10.069353337630375,7.933080820495073
consumers,5,6.611397465361941,0.7830800185550135
consumers,6,7.341493079659777,1.0054529214118424
consumers,7,4.69856975891806,2.4425128369392324
consumers,8,12.93277713808703,9.420774134190879
consumers,9,10.23377987916146,6.8395540544495255
consumers,10,4.4233209486902005,1.5909789278868591
consumers,11,7.799948449835117,5.0285052595973685
consumers,12,6.395349188580703,0.6691563651980958
consumers,13,11.509291389254898,8.761667137171283
consumers,14,8.57272488721683,9.144721332447288
consumers,15,8.975172527437667,8.05632281056866
consumers,16,5.8016231465375085,5.344499095974244
consumers,17,4.489848677841874,1.5111245987813793
consumers,18,8.453393762971112,0.4110215949404594
consumers,19,8.226393258004492,0.5402448477102495
consumers,20,6.778381138226449,9.64103491539904
consumers,21,7.7840362094812,5.247246950305964
consumers,22,4.5243358789611605,1.5648497049827004
consumers,23,4.033537500522786,5.660845496811722
consumers,24,11.603823357242415,3.4522565052625342
consumers,25,10.264733515634385,6.524978170413873
consumers,26,9.233467070957111,1.0428574211831743
consumers,27,3.5646197588868023,5.966427569730923
consumers,28,6.388278725042886,8.056132510395102
consumers,29,2.8030975549290558,3.5194116488726523
consumers,30,4.5398444773576125,1.98000131690661
consumers,31,7.7038313172492865,2.616618482873554
consumers,32,7.998287537594698,6.070777451050473
