level,species,z,theta
resources,1,3.9727357256510376,4.321673334055807
resources,2,3.2943216098433417,2.630451121599162
resources,3,6.6383081351078514,9.795254923306867
resources,4,4.794530399822211,6.059535818723103
resources,5,6.6396723744025214,9.089679080173179
resources,6,3.3363777731447746,2.811454753098037
resources,7,5.476318200182956,6.966537560748531
resources,8,4.067338320396083,4.553215919443597
resources,9,3.3212951668074164,2.542721623599067
resources,10,2.9832931111597225,1.9908886310480267
resources,11,3.9807961624215453,4.779421538104378
resources,12,5.962548045562218,8.362442739787816
resources,13,6.43368783389476,9.805840489075063
resources,14,4.425026402622164,5.827306981871345
resources,15,3.4441706972261,3.293610389544579
resources,16,3.2530808069661084,3.223883392250373
consumers,1,3.1568057408185712,1.669919269142921
consumers,2,5.281744582300647,6.178789846777393
consumers,3,3.5219336992541352,2.3139604789749457
consumers,4,3.374592157724285,2.4559031746951843
consumers,5,3.8565922426208497,3.2795947582385243
consumers,6,2.906365550288766,1.064836550345174
consumers,7,6.799657972152945,9.164808809115318
consumers,8,5.526858200124818,6.432077174261246
consumers,9,2.954627768453081,0.9442688941933297
consumers,10,3.8594446592345992,2.6070574515999057
