level,species,z,theta
resources,1,4.066017703221857,3.386620478919815
resources,2,8.042084149084358,9.447524250846655
resources,3,4.855633828593031,5.256085780331265
resources,4,3.924976205373048,3.2100299358605655
resources,5,3.2525037353434363,0.8507972066328806
resources,6,2.672823011364584,0.0676941782368301
resources,7,8.5654896864393,9.468925555087104
resources,8,7.768510699003204,7.820243286285853
resources,9,6.315520530154971,8.498360727397234
resources,10,4.997677603148485,5.564765384886739
resources,11,5.333994665241487,7.114758982471352
resources,12,3.1806988026042116,0.40300876144793607
resources,13,5.16595028985493,4.918122932919102
resources,14,8.975173854112393,9.857392899946927
resources,15,4.412258550807466,3.209787752443123
resources,16,7.250807562064084,8.380015405273749
resources,17,4.035426367248019,0.11924449477703325
resources,18,6.60811868136473,7.280011953834995
resources,19,5.770872680143016,5.278916435455421
resources,20,3.4089132965908524,1.3265551668508113
resources,21,6.3393705924317905,2.4244235428243988
resources,22,5.822695056502932,5.695566620189223
resources,23,7.5261839515047,9.029615269852165
resources,24,3.364623357290032,1.3063977144640693
resources,25,8.47234436303574,9.01055391638074
resources,26,6.0433494722158265,3.2160183296701206
resources,27,7.701840870032352,8.646209170746964
resources,28,3.7862335142066446,1.4527447941509508
resources,29,3.5703320371281784,0.6284234049971493
resources,30,3.164289391438211,0.7716507400274075
resources,31,6.8342939440428205,8.51425035017931
resources,32,5.8419965124868085,2.0137047246120465
resources,33,4.126053535203032,2.604164243923104
resources,34,3.3093502270435624,2.1288004911561043
resources,35,6.970695017238738,8.848888346844623
consumers,1,7.29552475196905,8.688155602576389
consumers,2,4.769965305194339,5.195138232810963
consumers,3,6.164616738972172,7.303911363638232
consumers,4,3.823590703309518,3.7045743513270746
consumers,5,5.270197249162344,6.371597962515869
consumers,6,3.2820711160609326,1.360845121122467
consumers,7,8.672866053732557,9.747107098543157
consumers,8,7.814018499676736,7.346142152556389
consumers,9,2.956604995248363,0.4891244839480313
consumers,10,4.186495185230241,4.726750903065775
consumers,11,3.0883521126840776,1.3469309274229024
consumers,12,5.012113627793309,6.035931048105243
consumers,13,4.254100982753609,3.833969366709733
consumers,14,5.319347913627661,8.04969675662085
consumers,15,4.610912058953964,2.1880728245399284
consumers,16,5.859949128194673,8.575316824071884
consumers,17,3.522889860464183,0.9920556225184796
consumers,18,8.354396983457116,9.38947355364649
consumers,19,4.101820661312282,2.9686172616132867
consumers,20,5.044961224083551,6.005555841751928
consumers,21,7.312235186080907,8.627244802415092
consumers,22,8.417389843541763,8.962841160058057
consumers,23,9.211894735526455,9.754997719127964
consumers,24,4.899412008088171,7.0668478985518
consumers,25,3.9955031346030454,1.8714940394931112
consumers,26,4.692013425785239,1.9687993493170364
consumers,27,3.646441351489376,5.938986471102319
consumers,28,4.3616434251668705,5.379336811438118
consumers,29,5.559021217158011,1.4679384108097038
