level,species,z,theta
resources,1,3.616058724283144,3.28252968106461
resources,2,6.829333282591803,7.193786056609084
resources,3,2.1425194140490755,0.5763977792198083
resources,4,8.272922670474829,9.625672793039627
resources,5,2.6011258859159962,1.0391541244828084
resources,6,7.605965358835402,8.377244269297483
resources,7,5.631304573627276,4.227625969240116
resources,8,3.0058953048235035,2.3395677210041788
resources,9,3.285575019865928,3.0025221521193846
resources,10,7.42763490110676,7.030111563518789
resources,11,3.4270621505206,3.674756948079141
resources,12,3.8238827511084588,1.1800181069413052
resources,13,4.666440204023284,0.49402594366175334
resources,14,8.15805908927317,9.020294076517214
resources,15,6.208702205807232,4.906820606173068
resources,16,4.585065912862191,5.88693808712671
resources,17,7.622867329048427,8.75980274630242
consumers,1,7.747997064557139,8.408679690976015
consumers,2,6.737251445865567,7.529591986553889
consumers,3,3.484575137328477,4.231560069867209
consumers,4,7.098879816995364,7.347385785197389
consumers,5,4.0143112054098,4.978890277748176
consumers,6,6.754998982683931,7.247722591067982
consumers,7,8.086846185887179,9.850903205859156
consumers,8,2.602898571968369,1.9493600635216435
consumers,9,2.0823984021170174,0.4517452227453056
consumers,10,2.266053431556305,0.42468214977811947
consumers,11,8.300182380590309,8.503052900557432
consumers,12,2.0534164305033813,0.6532383628040606
consumers,13,7.644065374291553,7.981569882070321
consumers,14,4.524251232769667,7.004337296543863
consumers,15,7.439544571926917,9.304799415073475
consumers,16,7.034533286820289,6.677099535496065
consumers,17,4.341066215023183,5.032890899612658
consumers,18,6.228475502658754,7.660128380854476
consumers,19,3.245071734538014,1.9055113336675245
consumers,20,7.770450806405609,8.864838011381318
consumers,21,4.982957611462825,9.085805124537432
consumers,22,5.307804836784495,9.500582373710547
consumers,23,7.120551285650624,8.417500881568628
consumers,24,8.431587143166418,8.906541180904187
consumers,25,2.8878932664823047,0.8526636096016582
consumers,26,2.671487440175074,0.10542235355180951
consumers,27,5.404651616256973,5.392500494450269
consumers,28,6.545630944728433,7.089764450745999
consumers,29,4.588732382423794,7.4013249426878485
consumers,30,3.232373811976931,1.6754154181731407
consumers,31,7.773584453374345,9.981500244395002
consumers,32,2.9207753960453036,0.8666472077804643
consumers,33,3.985470368764662,4.838099484851872
consumers,34,3.1108567775709695,1.8665784387569184
consumers,35,4.243836881188354,5.630721734311086
consumers,36,6.447312845730609,5.529225034495584
consumers,37,3.9491878467983197,4.767406808290968
consumers,38,4.0645445064321075,5.054591581777689
consumers,39,5.174462793517417,8.796611795712568
consumers,40,6.9386996057861055,3.9103812431310336
consumers,41,3.318048632258915,2.6267056607130357
consumers,42,4.301354061231009,6.0196002565295315
consumers,43,5.273578682477969,1.325096638828951
consumers,44,4.683579987374346,7.316960975532918
consumers,45,3.0706848697741322,1.767030681424775
consumers,46,4.208168264882271,5.56850871889198
consumers,47,4.222734444832979,5.575803603148657
consumers,48,3.4835542858850137,3.1801225307311642
consumers,49,6.091895083619136,4.41244823221613
consumers,50,5.532360867503489,5.313620434947872
consumers,51,7.674429458007874,6.125681427928749
consumers,52,2.2488707011898232,2.50148347265009
consumers,53,5.861945105580409,0.32913718001687853
consumers,54,2.568608605797837,0.24295961139312316
consumers,55,5.527036584760002,9.570852856438961
consumers,56,2.978237586868337,1.4770523448074102
consumers,57,3.308429370411173,2.5703773243029637
consumers,58,3.5686390880529895,3.4624070593915612
consumers,59,6.180301565457498,4.727338453259002
consumers,60,3.364213893221937,2.767304920210536
consumers,61,2.8936220011600047,1.1613162328320303
