level,species,z,theta
resources,1,4.994606695722929,7.228274365842456
resources,2,3.733947376765849,2.9740334456496886
resources,3,3.1331789696587125,2.442220975229552
resources,4,3.5019798225582246,1.8152147948620234
resources,5,4.096741166054913,5.5623686283156655
resources,6,3.179021268209476,2.31081426294933
resources,7,4.710911990675305,6.4316567213091
consumers,1,3.9377223479144963,4.049154146018719
consumers,2,3.170905976333395,2.229954469667037
consumers,3,2.715308558696174,0.0004128111204249052
consumers,4,3.9250863559653273,4.140993240246877
consumers,5,5.032611917731913,6.931633767215621
consumers,6,4.270698004040183,5.649921155163664
